"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-1226-5p",0,0,0,0,6,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
"hsa-miR-132-5p",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-136-5p",0,0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"hsa-miR-1469",0,0,0,0,54569,315801,0,0,0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,3,0,4,5,2,0,0,0,0,0,0
"hsa-miR-196a-5p",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1976",0,0,0,0,67502,0,0,658519,0,2,0,1,1,1,0,3,0,3,0,0,0,0,0,3,6,3,0,3,2,0,1,0,0,0
"hsa-miR-199b-3p",0,0,0,0,8429,0,0,0,10405,0,0,8357,0,7756,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5834
"hsa-miR-199b-5p",0,0,0,0,140,0,0,0,982,0,0,107,0,294,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,95
"hsa-miR-20a-3p",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-29b-2-5p",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
