"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-941",331,70,222,2029,866,1003,582,1670,432,853,1003,127,558,54,674,0,415,100,333,180,425,254,203,176,130,211,262,146,243,276,339,143,447,2106
"hsa-miR-96-5p",240,25,0,16,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,41,37,32,0,0,0,0,0,0,13,19,0,0
"hsa-miR-99a-5p",146,77,340,73,69,0,32,60,6,64,18,48,13,12,85,0,369,359,103,75,138,0,188,861,85,120,0,11,26,75,83,51,31,0
"hsa-let-7b-3p",0,25,81,16,31,0,0,15,0,19,23,11,43,4,0,0,0,0,56,0,238,41,0,32,0,67,0,0,0,0,0,0,0,0
"hsa-miR-10396b-5p",0,25,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1180-3p",0,25,0,11,5,0,0,0,5,9,0,4,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1229-3p",0,25,0,11,0,0,0,0,0,28,12,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"hsa-miR-1247-5p",0,1,1,0,1,0,2,0,0,67616,27273,4094,19829,726,28520,0,0,0,0,0,1,0,0,2,0,0,0,26006,28526,0,13190,31066,12603,57176
"hsa-miR-1255a",0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,32
"hsa-miR-1275",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-128-3p",0,84,133,644,173,257,0,51,121,95,87,27,46,13,16,0,145,60,0,206,131,0,0,0,0,179,163,49,34,80,16,66,47,19
"hsa-miR-130a-3p",0,402,256,1044,247,0,168,72,123,72,33,24,28,7,0,183,248,131,314,0,0,545,266,353,482,155,85,51,17,43,22,0,29,21
"hsa-miR-130b-5p",0,107,0,644,202,224,454,263,84,14,27,4,4,3,0,74,0,118,132,0,0,0,0,0,108,0,0,8,0,4,5,14,16,11
"hsa-miR-133a-3p",0,1,0,2,1,1,0,1,0,124448,0,1937,0,3618,0,0,0,0,0,0,0,2,1,0,0,0,0,63950,0,0,33710,0,45662,0
"hsa-miR-139-3p",0,25,0,11,0,0,52,0,10,9,0,9,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,51,20,26,37,0,0
"hsa-miR-140-3p",0,675,270,1634,438,1468,354,889,296,218,68,42,117,16,41,163,455,355,628,67,273,284,259,452,252,474,394,24,47,36,183,71,23,174
"hsa-miR-144-5p",0,359,573,59,121,206,367,47,78,159,54,22,254,31,335,617,0,259,531,426,389,337,266,249,438,242,260,185,316,112,235,100,11,0
