"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-4755-3p",0,0,0,10,0,29,0,0,0,12,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,0,0
"hsa-miR-485-3p",0,0,0,3,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"hsa-miR-485-5p",0,0,0,1200,0,0,0,888,0,196,0,2321,0,460,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,414,243,1085,0,0
"hsa-miR-487b-3p",0,0,0,16,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"hsa-miR-493-3p",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-493-5p",0,0,0,3,6,0,0,38,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-496",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5010-5p",0,0,0,540,437,0,0,0,478,890,0,610,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,698,0,0,748,0,0,522
"hsa-miR-504-5p",0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-505-3p",0,0,0,19,6,0,0,0,13,6,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-505-5p",0,0,0,3,6,29,41,13,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"hsa-miR-509-3p",0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,17,0,0,0
"hsa-miR-5189-3p",0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
"hsa-miR-5189-5p",0,0,0,22,0,0,0,38,13,18,0,29,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,50,21,0,0
"hsa-miR-532-3p",0,0,0,6,0,0,41,13,27,0,0,23,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-543",0,0,0,3,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"hsa-miR-548e-3p",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
"hsa-miR-550a-3p",0,0,0,108,717,2345,0,0,1616,459,982,2549,1966,4984,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1055,2941,0,3579,0
"hsa-miR-550a-5p",0,0,0,166,0,1699,2405,1492,0,333,713,0,325,0,1645,0,0,1,0,0,0,0,0,0,0,0,1,0,0,827,1042,0,2788,0
"hsa-miR-550b-3p",0,0,0,6,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-556-5p",0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"hsa-miR-576-5p",0,0,0,22,19,29,124,0,0,24,13,0,0,28,0,0,0,19,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-602",0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-605-3p",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-616-5p",0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"hsa-miR-625-3p",0,0,0,5860,439,0,1537,0,967,1579,910,809,865,1464,0,0,0,1,0,0,0,0,1,0,1,1,0,2971,1501,1155,0,0,1138,0
"hsa-miR-625-5p",0,0,0,32,0,0,0,26,40,12,50,0,12,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-628-3p",0,0,0,1471,0,0,2758,0,0,183,0,756,0,1866,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1202,0,0,0
"hsa-miR-628-5p",0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,67,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-629-3p",0,0,0,3,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-641",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-651-5p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-654-5p",0,0,0,19,0,0,0,64,40,6,0,52,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,50,42,0,23
"hsa-miR-664a-3p",0,0,0,22,12,0,0,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"hsa-miR-664b-3p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"hsa-miR-671-5p",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6721-5p",0,0,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6741-3p",0,0,0,33244,0,0,0,155807,0,1,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"hsa-miR-6754-3p",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6772-3p",0,0,0,471,0,0,0,485,0,1506,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1663,0,888
"hsa-miR-6783-3p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"hsa-miR-6802-3p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6804-3p",0,0,0,3,0,0,41,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
