"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-23b-3p",1,1,0,1,1,1,1,1,1,2431,765,3356,1630,3572,2099,0,0,1,1,1,1,1,1,1,1,1,0,370,0,3804,410,1893,799,4449
"hsa-miR-24-3p",6,2,5,9,4,11,9,8,5,7,4,4,5,5,6,7,3,1,8,5,6,0,4,4,3,2,0,2,0,5,4,2,10,11
"hsa-miR-26b-5p",34,29,24,37,25,46,41,26,23,18,21,22,22,28,36,37,25,17,30,29,11,12,19,26,12,36,18,8,25,25,28,4,5,47
"hsa-miR-27a-3p",24,19,24,18,25,20,24,9,13,11,12,11,6,12,13,32,19,16,27,33,8,7,9,13,13,36,6,13,12,7,5,4,6,17
"hsa-miR-28-3p",53,51,53,181,93,104,78,184,125,129,134,109,108,166,79,54,55,26,63,43,30,17,45,29,30,36,60,60,95,132,96,128,86,152
"hsa-miR-30a-3p",5,2,4,2,3,0,5,1,1,0,1,2,3,5,0,7,0,3,5,2,0,0,0,4,3,7,3,3,3,1,3,0,1,2
"hsa-miR-30b-5p",9,4,0,5,5,1,5,5,2,7,6,3,6,8,6,0,7,1,2,9,1,5,8,2,2,5,0,2,2,5,2,7,5,2
"hsa-miR-30c-1-3p",1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,51,0,0,1,42
"hsa-miR-30e-3p",1,1,1,1,1,1,1,1,1,619,1067,1076,505,1000,0,0,0,1,1,1,0,0,1,1,1,1,1,223,1387,1060,0,756,1,1340
"hsa-miR-30e-5p",33,63,96,65,48,47,51,70,34,40,34,41,37,56,29,80,58,39,51,64,39,71,64,35,36,41,36,31,19,24,37,34,46,46
"hsa-miR-3168",9,0,0,0,0,0,0,8,3,1,1,0,0,0,2,6,4,0,2,0,4,11,2,1,0,2,2,1,1,1,1,0,0,1
