"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-30c-1-3p",0,0,0,1,0,0,0,0,1,0,0,3271,350,2255,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,247,0,0,80,0
"hsa-miR-30e-3p",0,0,0,2,1,1,0,1,1,7556,3702,60860,3508,33112,0,0,0,1,1,1,0,0,0,1,1,1,1,0,463,6348,0,553,376,384
"hsa-miR-30e-5p",0,26,4,1003,439,16,5,190,146,190,61,1023,116,734,9,2,2,22,9,17,7,12,19,15,4,12,4,9,5,40,52,19,114,13
"hsa-miR-3168",0,0,0,0,28,0,0,75,47,2,1,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"hsa-miR-320a-3p",0,8,2,611,235,15,7,164,272,81,40,1082,93,646,11,1,1,31,3,1,4,1,4,18,2,3,3,8,2,18,15,12,200,4
"hsa-miR-335-5p",0,0,0,30,2,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-342-3p",1,8,2,228,288,13,3,199,146,213,70,1101,172,817,10,0,1,12,2,4,8,4,5,3,2,10,2,3,22,30,44,36,89,16
"hsa-miR-342-5p",0,0,0,55,67,7,1,20,42,14,8,99,12,57,0,0,0,2,2,0,0,2,1,0,0,3,1,1,0,9,4,1,5,2
"hsa-miR-3614-5p",0,0,0,0,1,0,0,2,0,1749,0,13204,848,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,883,171,0,1
"hsa-miR-3615",0,1,0,1,1,1,0,1,1,22825,11105,178529,17622,88786,3167,0,0,1,0,0,1,1,1,1,0,0,0,906,2874,1574,592,844,38159,845
